mol_i,mol_j,sim,∆p,SALI
Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,0.8,1.3605135107314137,6.802533540989365
Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S,0.8,1.1674910872937634,5.837426249337572
N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S,0.8,1.3605135107314137,6.802533540989365
N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S,0.8,1.3605135107314137,6.802533540989365
N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccccc2)SC1=S,0.8360655737704918,1.1693993780912262,7.133292693271052
O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1,0.8620689655172413,1.2403321553103694,8.992342931513921
O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccccc1,0.8909090909090909,1.3106911408763793,12.014558657912442
O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,O=C(Cc1ccc(-c2ccncc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,0.85,1.405765346183994,9.37170649651665
O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,0.8,1.8473482755246673,9.236695194147368
O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,O=C(Cc1ccc(Cl)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,0.8,1.4357285695614372,7.178606954772414
O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S,0.8,1.1674910872937634,5.837426249337572
O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S,0.828125,1.1674910872937634,6.792635896191228
O=C(O)CN1C(=O)/C(=C/c2nc3cc(F)ccc3n2Cc2ccccc2F)SC1=S,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,0.8387096774193549,1.0873719242465176,6.741664132010792
