ChEMBL_ID,canonical_smiles,activity_flag,standard_value,pIC50
CHEMBL3261569,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)Nc2ccccc2)c1,inactive,25000.0,4.6020599913279625
CHEMBL3261565,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)O)c1,inactive,50000.0,4.301029995663981
CHEMBL3261563,COc1ccccc1N1C(=O)CSC1c1cccc(CBr)c1,inactive,14380.0,4.842241113953136
CHEMBL3261558,COc1ccccc1N1C(=O)CSC1c1cccc(Cl)c1,active,8180.0,5.087246696328677
CHEMBL3261559,COc1ccccc1N1C(=O)CSC1c1cccc(F)c1,inactive,50000.0,4.301029995663981
CHEMBL3261562,COc1ccccc1N1C(=O)CSC1c1cccc(O)c1,inactive,50000.0,4.301029995663981
CHEMBL3261560,COc1ccccc1N1C(=O)CSC1c1cccc([N+](=O)[O-])c1,inactive,11310.0,4.946537395074545
CHEMBL3261553,COc1ccccc1N1C(=O)CSC1c1ccccc1,inactive,50000.0,4.301029995663981
CHEMBL3261551,COc1ccccc1N1C(=O)CSC1c1ccccc1Br,inactive,31540.0,4.501138311007116
CHEMBL3261555,COc1ccccc1N1C(=O)CSC1c1cccs1,inactive,50000.0,4.301029995663981
CHEMBL3261554,COc1ccccc1N1C(=O)CSC1c1ccncc1,inactive,50000.0,4.301029995663981
CHEMBL415789,CSc1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1,active,2470.0,5.607303046740334
CHEMBL3088153,Cc1c(-c2csc(/N=C3\S/C(=C\c4ccc(Cl)cc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C,inactive,100000.0,4.0
CHEMBL3088154,Cc1c(-c2csc(/N=C3\S/C(=C\c4ccc(N(C)C)cc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C,inactive,100000.0,4.0
CHEMBL3088152,Cc1c(-c2csc(/N=C3\S/C(=C\c4ccccc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C,inactive,100000.0,4.0
CHEMBL3088157,Cc1c(-c2csc(/N=C3\S/C(=C\c4ccco4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C,inactive,13670.0,4.864231485432177
