fragment_smiles,frequency_total,frequency_active,frequency_inactive,presence_active_pct,presence_inactive_pct,importance,stability,ac_enrichment,n_cliff_pairs,is_selected,selection_method,was_removed_by_AC
[*]N1C[C@H]2CCCC[C@H]2C1,1,1,0,0.85,0.0,0.000109,0.0,0.0,0,False,not_selected,False
[*]c1cccs1,4,1,3,0.85,1.26,0.000108,0.0,0.0,0,False,not_selected,False
[*]c1ccc([*])c2ccccc12,1,1,0,0.85,0.0,9.7e-05,0.0,0.0,0,False,not_selected,False
[*]c1ccc(F)c(F)c1F,1,1,0,0.85,0.0,7.4e-05,0.0,0.0,0,False,not_selected,False
[*]c1cc([*])c([*])cc1[*],4,3,1,2.56,0.42,4.6e-05,0.0,6.439714,1,True,AC_added,False
[*]c1ccccc1Br,2,1,1,0.85,0.42,4.5e-05,0.0,0.0,0,False,not_selected,False
[*]CC1=Cc2ccccc2OC1,5,0,5,0.0,2.09,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=S)SCC1([*])O,4,0,4,0.0,1.67,0.0,0.0,0.0,0,False,not_selected,False
[*]n1cc([*])c2ccccc21,8,0,8,0.0,3.35,0.0,0.0,0.0,0,False,not_selected,False
[*]CC1=Cc2cc(Br)ccc2OC1C,5,0,5,0.0,2.09,0.0,0.0,0.0,0,False,not_selected,False
[*]n1cc([*])c2cc(Br)ccc21,4,0,4,0.0,1.67,0.0,0.0,0.0,0,False,not_selected,False
[*]C1SC(=O)N(C)C1=O,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]CC1=Cc2cc(Br)ccc2OC1,3,0,3,0.0,1.26,0.0,0.0,0.0,0,False,not_selected,False
[*]n1cc([*])c2cc([*])ccc21,4,0,4,0.0,1.67,0.0,0.0,0.0,0,False,not_selected,False
[*]CC1=Cc2cccc([*])c2OC1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]C1C(=O)Nc2ccc(Br)cc21,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]n1c([*])nc2ccc([*])cc21,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]C1S/C(=N/CC[*])NC1=O,4,0,4,0.0,1.67,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCNC(=O)c2c1ccn2C,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCNC(=O)c2c1c1ccccc1n2C,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]C1C(=O)Nc2ccccc21,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]n1c([*])nc2cc(F)ccc21,2,0,2,0.0,0.84,0.0,0.0,-6.741664,1,False,not_selected,False
[*]C(=O)O,14,0,14,0.0,5.86,0.0,0.0,-12.673836,1,False,not_selected,False
[*]C(=O)NN1C(=O)CS[C@H]1[*],3,0,3,0.0,1.26,0.0,0.0,0.0,0,False,not_selected,False
[*]C(=O)NN1C(=O)CS[C@@H]1[*],6,0,6,0.0,2.51,0.0,0.0,0.0,0,False,not_selected,False
[*]N1CCc2sccc2C1,1,0,1,0.0,0.42,0.0,0.0,-17.796136,2,False,not_selected,False
[*]CCN,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]CBr,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]NC,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1/C(=N/c2ccc([*])cc2)SCC1([*])O,3,0,3,0.0,1.26,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cccc(O)c1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]N1/C(=N/c2ccc(F)c(Cl)c2)SCC1([*])O,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]CCC,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1nnc([*])s1,14,0,14,0.0,5.86,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ncn[nH]1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]c1nccs1,4,0,4,0.0,1.67,0.0,0.0,0.0,0,False,not_selected,False
[*]c1nccnc1N,3,0,3,0.0,1.26,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ncccn1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ncc[nH]1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cnccn1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cnc(C)cn1,5,0,5,0.0,2.09,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cn2c([*])cnc2s1,11,0,11,0.0,4.6,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cccn1C,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccc2ccccc2n1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccc([N+](=O)[O-])s1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1[nH]c2ccc(C)cc2c1[*],1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]C1(O)CSC(=S)N1C,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]S(=O)(=O)c1cccs1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)CSC1=O,5,0,5,0.0,2.09,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)CS/C1=N\c1nc([*])cs1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C([*])S/C1=N\c1ccccc1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C([*])S/C1=N\c1ccc([*])cc1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C([*])S/C1=N\c1ccc(I)cc1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C([*])S/C1=N\c1ccc(C)cc1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C([*])S/C1=N/c1ccccc1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C([*])S/C1=N/c1ccc(F)c(Cl)c1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C([*])S/C1=N/c1cc(C)ccc1Cl,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C([*])S/C1=N/CC,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C([*])S/C1=N/C1CCCCC1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]N1C(=O)C(C)SC1[*],7,0,7,0.0,2.93,0.0,0.0,0.0,0,False,not_selected,False
